chr	start	end	peak_id	score	strand	intron_chr	intron_start	intron_end	intron_id	intron_score	intron_strand	rPos	Overlap_start	Overlap_end	Control_start	Control_end	Intron_length	Control_length	ExonORIntron	Overlap_Phastcon	Control_Phastcon	Overlap_GC	Control_GC	Class	m6A_Intensity
chr1	20813543	20813651	m6AIP_abcam_peak_33	0.0	-	chr1	20813114	20814398	ENSMUST00000053266.10|Mcm3|ENSMUSG00000041859.10|protein_coding_Intron_6	0.0	-	0.5887850467289719	20813543	20813651	20813771	20813879	1284	457	Constitutive_Intron	0.0162593	0.215926	0.4444444444444444	0.39814814814814814	Cfg3	0.682264715295712
chr1	24071954	24072080	m6AIP_abcam_peak_37	0.0	-	chr1	24067978	24085410	ENSMUST00000027337.14|Fam135a|ENSMUSG00000026153.15|protein_coding_Intron_3	0.0	-	0.7696190913262965	24071954	24072080	24084372	24084498	17432	6775	Constitutive_Intron	0.60481	0.0230794	0.4603174603174603	0.48412698412698413	Cfg3	1.47851170330083
chr1	30813549	30813690	m6AIP_abcam_peak_40	0.0	-	chr1	30813152	30813959	ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_10	0.0	-	0.42750929368029744	30813549	30813690	30813779	30813920	807	2376	Alternative_ExonIntron	0.0247163	0.0218014	0.49645390070921985	0.375886524822695	Cfg3	0.991281986154824
chr1	30829439	30829626	m6AIP_SySy_peak_31	0.0	-	chr1	30824519	30829842	ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_4	0.0	-	0.048844636483186155	30829439	30829626	30825329	30825516	5323	1870	Alternative_ExonIntron	0.30316	0.0035615	0.3582887700534759	0.40641711229946526	Cfg2	2.18046500407317
chr1	30852734	30852864	m6AIP_abcam_peak_42	0.0	-	chr1	30837266	30862986	ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_2	0.0	-	0.3977838258164852	30852734	30852864	30857862	30857992	25720	1870	Constitutive_Intron	0.00861538	0	0.45384615384615384	0.34615384615384615	Cfg3	0.407614390629192
chr1	33571753	33571881	m6AIP_abcam_peak_43a	0.0	-	chr1	33533363	33628394	ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_7	0.0	-	0.5952899580137008	33571753	33571881	33609521	33609649	95031	3188	Constitutive_Intron	0.00119531	0.142344	0.5	0.421875	Cfg3	1.35830507082763
chr1	33571882	33572003	m6AIP_abcam_peak_43b	0.0	-	chr1	33533363	33628394	ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_7	0.0	-	0.5940377350548769	33571882	33572003	33578789	33578910	95031	4141	Constitutive_Intron	0.00109091	0.0417025	0.5289256198347108	0.512396694214876	Cfg3	1.18728468268656
chr1	33637680	33637880	m6AIP_abcam_peak_44	0.0	-	chr1	33630433	33662245	ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_5	0.0	-	0.7707154532880673	33637680	33637880	33659626	33659826	31812	9748	Constitutive_Intron	0.00477	0.0238696	0.545	0.43	Cfg3	1.2716687764627
chr1	33791567	33791734	m6AIP_abcam_peak_48	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.7273210677443369	33791567	33791734	33798382	33798549	18806	1180	Constitutive_Intron	0.162892	0.462365	0.5389221556886228	0.3592814371257485	Cfg3	1.12758716523758
chr1	33801369	33801480	m6AIP_SySy_peak_36a	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.2089226842497075	33801369	33801480	33800709	33800820	18806	861	Alternative_ExonIntron	0.107288	0.520135	0.38738738738738737	0.44144144144144143	Cfg2	0.549735414082619
chr1	33801481	33801631	m6AIP_SySy_peak_36b	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.20126555354674036	33801481	33801631	33795071	33795221	18806	861	Alternative_ExonIntron	0.36852	0.0423133	0.3933333333333333	0.31333333333333335	Cfg2	1.89553457587053
chr1	33801632	33801836	m6AIP_SySy_peak_36c	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.19286397958098478	33801632	33801836	33793424	33793628	18806	846	Alternative_ExonIntron	0.354941	0.0618824	0.4068627450980392	0.45588235294117646	Cfg2	1.35391842456906
chr1	33801836	33802086	m6AIP_SySy_peak_36d	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.17957034988833354	33801836	33802086	33803980	33804230	18806	18806	Alternative_ExonIntron	0.290788	0.032196	0.364	0.476	Cfg2	2.5216806537738
chr1	33802325	33802575	m6AIP_SySy_peak_36e	0.0	-	chr1	33786532	33805338	ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	0.0	-	0.1535680102095076	33802325	33802575	33789561	33789811	18806	3811	Alternative_ExonIntron	0.99174	0.054844	0.456	0.404	Cfg1	3.94408259369444
chr1	33914633	33914776	m6AIP_abcam_peak_50	0.0	+	chr1	33909033	33968702	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	0.0	+	0.09443764768975516	33914633	33914776	33952823	33952966	59669	2022	Constitutive_Intron	0.0131678	0.161986	0.48951048951048953	0.45454545454545453	Cfg3	0.22979570537678
chr1	33915130	33915310	m6AIP_abcam_peak_51	0.0	+	chr1	33909033	33968702	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	0.0	+	0.10476126631919422	33915130	33915310	33947653	33947833	59669	431	Constitutive_Intron	0.409183	0.122883	0.4666666666666667	0.45	Cfg3	0.25584486189367
chr1	33921029	33921199	m6AIP_abcam_peak_52	0.0	+	chr1	33909033	33968702	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	0.0	+	0.20243342439122491	33921029	33921199	33914403	33914573	59669	617	Constitutive_Intron	0.00955882	0.0061	0.3588235294117647	0.5294117647058824	Cfg3	1.35026636131844
chr1	34090079	34090190	m6AIP_abcam_peak_53	0.0	+	chr1	34086303	34113932	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_5	0.0	+	0.1391653697202215	34090079	34090190	34095643	34095754	27629	462	Constitutive_Intron	0.0780541	0	0.46846846846846846	0.4864864864864865	Cfg3	0.297105696387666
chr1	34104530	34104650	m6AIP_abcam_peak_54	0.0	+	chr1	34086303	34113932	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_5	0.0	+	0.6618770132831445	34104530	34104650	34108853	34108973	27629	431	Constitutive_Intron	0	0.1332	0.5583333333333333	0.625	Cfg3	0.766286057482908
chr1	34177789	34177901	m6AIP_SySy_peak_37a	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.3286334056399132	34177789	34177901	34178773	34178885	9220	540	Alternative_ExonIntron	0.783902	0.776562	0.4732142857142857	0.42857142857142855	Cfg1	1.08868961486021
chr1	34177902	34178034	m6AIP_SySy_peak_37b	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.34533622559652927	34177902	34178034	34183247	34183379	9220	1663	Alternative_ExonIntron	0.634758	0.0163258	0.5151515151515151	0.3787878787878788	Cfg1	1.76857913187038
chr1	34178398	34178542	m6AIP_abcam_peak_57	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.3989154013015184	34178398	34178542	34178772	34178916	9220	1937	Alternative_ExonIntron	0.342556	0.755264	0.5486111111111112	0.4444444444444444	Cfg3	1.35370659801319
chr1	34178649	34178760	m6AIP_abcam_peak_58	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.41919739696312364	34178649	34178760	34178348	34178459	9220	102	Alternative_ExonIntron	0.62055	0.585865	0.5315315315315315	0.5315315315315315	Cfg3	0.122007245251313
chr1	34180230	34180480	m6AIP_SySy_peak_38	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.6030368763557483	34180230	34180480	34179710	34179960	9220	1157	Alternative_ExonIntron	0.581392	0.798364	0.528	0.548	Cfg1	2.26729035286449
chr1	34181215	34181365	m6AIP_SySy_peak_39	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.7063991323210412	34181215	34181365	34175117	34175267	9220	1012	Alternative_ExonIntron	0.621353	0.0701439	0.5333333333333333	0.4666666666666667	Cfg1	1.8077604963845
chr1	34182073	34182323	m6AIP_SySy_peak_40	0.0	+	chr1	34174795	34184015	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	0.0	+	0.8029284164859002	34182073	34182323	34175552	34175802	9220	27629	Alternative_ExonIntron	0.751028	0.196272	0.456	0.448	Cfg2	1.79172726141993
chr1	34237702	34237865	m6AIP_SySy_peak_47	0.0	+	chr1	34229246	34242618	ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_60	0.0	+	0.638049655997607	34237702	34237865	34233895	34234058	13372	1663	Alternative_ExonIntron	0.916252	0.135166	0.5398773006134969	0.4723926380368098	Cfg1	2.40542384526987
chr1	34834540	34834701	m6AIP_abcam_peak_72	0.0	-	chr1	34828847	34836732	ENSMUST00000167518.7|Fam168b|ENSMUSG00000037503.12|protein_coding_Intron_2	0.0	-	0.2716550412175016	34834540	34834701	34831881	34832042	7885	4010	Constitutive_Intron	0.00793789	0.0328509	0.453416149068323	0.43478260869565216	Cfg3	0.604612527679026
chr1	36360277	36360437	m6AIP_abcam_peak_78	0.0	-	chr1	36358460	36365481	ENSMUST00000186470.1|Kansl3|ENSMUSG00000010453.12|protein_coding_Intron_2	0.0	-	0.733941034040735	36360277	36360437	36363570	36363730	7021	338	Constitutive_Intron	0.101669	0.0738125	0.50625	0.49375	Cfg3	1.10117201029439
chr1	36444710	36444826	m6AIP_abcam_peak_80	0.0	-	chr1	36443609	36445049	ENSMUST00000115011.7|Lman2l|ENSMUSG00000001143.13|protein_coding_Intron_1	0.0	-	0.19652777777777775	36444710	36444826	36444759	36444875	1440	961	Alternative_ExonIntron	0.0015431	0.158069	0.5	0.45689655172413796	Cfg3	1.30867354201484
chr1	36596597	36596703	m6AIP_abcam_peak_82	0.0	-	chr1	36586003	36600122	ENSMUST00000170295.7|Fam178b|ENSMUSG00000046337.17|protein_coding_Intron_10	0.0	-	0.24598059352645374	36596597	36596703	36589170	36589276	14119	21818	Constitutive_Intron	0	0.0273302	0.3584905660377358	0.5471698113207547	Cfg3	1.09729894134252
chr1	36806944	36807145	m6AIP_abcam_peak_83	0.0	-	chr1	36804646	36807883	ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_32	0.0	-	0.24961383997528575	36806944	36807145	36807332	36807533	3237	112	Constitutive_Intron	0.0308607	0.199299	0.5223880597014925	0.40298507462686567	Cfg3	0.820828837613917
chr1	36826004	36826125	m6AIP_abcam_peak_84	0.0	-	chr1	36825539	36827010	ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_16	0.0	-	0.6444595513256288	36826004	36826125	36826325	36826446	1471	365	Constitutive_Intron	0.00213223	0.0160496	0.45454545454545453	0.48760330578512395	Cfg3	0.590739100795479
chr1	36867115	36867301	m6AIP_abcam_peak_85	0.0	-	chr1	36854967	36872511	ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_5	0.0	-	0.3048335613315093	36867115	36867301	36861839	36862025	17544	2349	Constitutive_Intron	0	0.0905376	0.3817204301075269	0.44623655913978494	Cfg3	-0.0580931859886095
chr1	36867666	36867766	m6AIP_SySy_peak_59	0.0	-	chr1	36854967	36872511	ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_5	0.0	-	0.2721158230734154	36867666	36867766	36855321	36855421	17544	112	Constitutive_Intron	0.07438	0.00935	0.4	0.44	Cfg2	0.88026620502928
chr1	38060956	38061098	m6AIP_SySy_peak_62	0.0	-	chr1	38059294	38063114	ENSMUST00000027251.11|Rev1|ENSMUSG00000026082.11|protein_coding_Intron_13	0.0	-	0.5460732984293194	38060956	38061098	38062844	38062986	3820	8546	Constitutive_Intron	0	0.0117823	0.38028169014084506	0.33098591549295775	Cfg2	1.57579284419596
chr1	39368368	39368472	m6AIP_abcam_peak_91	0.0	+	chr1	39368255	39370013	ENSMUST00000194746.5|Rpl31|ENSMUSG00000073702.11|protein_coding_Intron_2	0.0	+	0.09215017064846416	39368368	39368472	39369355	39369459	1758	814	Constitutive_Intron	0.00210577	0.0808846	0.5769230769230769	0.4807692307692308	Cfg3	1.37006023496595
chr1	39569486	39569662	m6AIP_abcam_peak_93	0.0	-	chr1	39565332	39576826	ENSMUST00000062525.10|Rnf149|ENSMUSG00000048234.13|protein_coding_Intron_1	0.0	-	0.6306768748912477	39569486	39569662	39572341	39572517	11494	2962	Constitutive_Intron	0.276284	0.0608352	0.5113636363636364	0.4602272727272727	Cfg3	0.16111715723451
chr1	39905982	39906140	m6AIP_abcam_peak_94	0.0	+	chr1	39901574	39962177	ENSMUST00000163854.8|Map4k4|ENSMUSG00000026074.15|protein_coding_Intron_2	0.0	+	0.0736597198158507	39905982	39906140	39943347	39943505	60603	819	Constitutive_Intron	0.0540823	0.0628101	0.5253164556962026	0.3987341772151899	Cfg3	0.693244045493416
chr1	39980981	39981156	m6AIP_abcam_peak_95	0.0	+	chr1	39980650	39983138	ENSMUST00000163854.8|Map4k4|ENSMUSG00000026074.15|protein_coding_Intron_6	0.0	+	0.15554662379421222	39980981	39981156	39981370	39981545	2488	303	Constitutive_Intron	0.0622686	0.036	0.5028571428571429	0.4057142857142857	Cfg3	0.0940283611796501
chr1	42898600	42898744	m6AIP_SySy_peak_66b	0.0	+	chr1	42898608	42899440	ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	0.0	+	0.06850961538461539	42898608	42898744	42899149	42899285	832	7780	Alternative_ExonIntron	0.0571985	0.127588	0.5441176470588235	0.4264705882352941	Cfg2	1.7997456827894
chr1	42898745	42898951	m6AIP_SySy_peak_66c	0.0	+	chr1	42898608	42899440	ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	0.0	+	0.2620192307692308	42898745	42898951	42898732	42898938	832	7780	Alternative_ExonIntron	0.0245777	0.0213786	0.3883495145631068	0.3883495145631068	Cfg2	3.34403062088374
chr1	42898990	42899171	m6AIP_SySy_peak_66d	0.0	+	chr1	42898608	42899440	ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	0.0	+	0.609375	42898990	42899171	42898661	42898842	832	1940	Alternative_ExonIntron	0.0158564	0.0260442	0.36464088397790057	0.43646408839779005	Cfg2	1.81273169882164
chr1	43772200	43772300	m6AIP_abcam_peak_99	0.0	-	chr1	43771802	43774816	ENSMUST00000126008.7|Uxs1|ENSMUSG00000057363.12|protein_coding_Intron_8	0.0	-	0.8510285335102854	43772200	43772300	43774576	43774676	3014	8047	Constitutive_Intron	0	0.01483	0.49	0.4	Cfg3	2.17193572978236
chr1	43794956	43795093	m6AIP_abcam_peak_100	0.0	-	chr1	43790644	43797244	ENSMUST00000126008.7|Uxs1|ENSMUSG00000057363.12|protein_coding_Intron_5	0.0	-	0.33606060606060606	43794956	43795093	43793471	43793608	6600	6671	Constitutive_Intron	0.0888686	0.0272555	0.48905109489051096	0.40875912408759124	Cfg3	1.92495686635404
chr1	52170580	52170691	m6AIP_abcam_peak_103	0.0	-	chr1	52168958	52188678	ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	0.0	-	0.913235294117647	52170580	52170691	52171753	52171864	19720	4877	Constitutive_Intron	0.00206306	0.00715315	0.5045045045045045	0.45045045045045046	Cfg3	1.24912719909533
chr1	52187589	52187758	m6AIP_SySy_peak_76a	0.0	-	chr1	52168958	52188678	ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	0.0	-	0.050101419878296194	52187589	52187758	52183109	52183278	19720	2111	Alternative_ExonIntron	0.989763	0.00468047	0.42011834319526625	0.378698224852071	Cfg2	1.99036766797534
chr1	52187759	52187868	m6AIP_SySy_peak_76b	0.0	-	chr1	52168958	52188678	ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	0.0	-	0.04305273833671397	52187759	52187868	52172778	52172887	19720	4843	Alternative_ExonIntron	0.999028	0.024945	0.3669724770642202	0.3302752293577982	Cfg2	1.57951157891091
chr1	52225834	52225941	m6AIP_abcam_peak_104a	0.0	-	chr1	52220039	52232591	ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_1	0.0	-	0.5352931803696622	52225834	52225941	52226453	52226560	12552	1556	Constitutive_Intron	0.0983178	0.0401495	0.4205607476635514	0.2803738317757009	Cfg3	1.00235607949502
chr1	52225942	52226059	m6AIP_abcam_peak_104b	0.0	-	chr1	52220039	52232591	ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_1	0.0	-	0.5241395793499044	52225942	52226059	52220908	52221025	12552	2901	Constitutive_Intron	0.0493675	0.0800085	0.452991452991453	0.3076923076923077	Cfg3	0.890039226035171
chr1	52927725	52927911	m6AIP_abcam_peak_111	0.0	-	chr1	52925734	52952614	ENSMUST00000050567.10|1700019D03Rik|ENSMUSG00000043629.12|protein_coding_Intron_1	0.0	-	0.9242931547619048	52927725	52927911	52926608	52926794	26880	26880	Constitutive_Intron	0.182747	0.16236	0.521505376344086	0.42473118279569894	Cfg3	0.518837201818105
chr1	53263067	53263190	m6AIP_abcam_peak_112	0.0	-	chr1	53256792	53267827	ENSMUST00000027267.13|Pms1|ENSMUSG00000026098.13|protein_coding_Intron_4	0.0	-	0.42618939737199824	53263067	53263190	53261580	53261703	11035	2667	Alternative_ExonIntron	0.0125366	0.0291707	0.45528455284552843	0.37398373983739835	Cfg3	1.984882042792
chr1	58007237	58007343	m6AIP_abcam_peak_115	0.0	+	chr1	58002979	58013506	ENSMUST00000027202.8|Sgo2a|ENSMUSG00000026039.9|protein_coding_Intron_5	0.0	+	0.4101833380830246	58007237	58007343	58011216	58011322	10527	1783	Constitutive_Intron	0.11966	0	0.4716981132075472	0.5471698113207547	Cfg3	1.09483229290066
chr1	58487299	58487415	m6AIP_abcam_peak_122	0.0	-	chr1	58483703	58492856	ENSMUST00000027198.11|Orc2|ENSMUSG00000026037.14|protein_coding_Intron_7	0.0	-	0.5976182672347864	58487299	58487415	58490305	58490421	9153	1492	Constitutive_Intron	0.295534	0	0.5	0.4224137931034483	Cfg3	1.14506915185894
chr1	59647522	59647632	m6AIP_abcam_peak_130	0.0	-	chr1	59644594	59655457	ENSMUST00000091374.8|Sumo1|ENSMUSG00000026021.15|protein_coding_Intron_2	0.0	-	0.7252140292736813	59647522	59647632	59648733	59648843	10863	2027	Constitutive_Intron	0	0	0.39090909090909093	0.36363636363636365	Cfg3	0.857788534281965
chr1	60207978	60208050	m6AIP_abcam_peak_134a	0.0	+	chr1	60206416	60217195	ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_7	0.0	+	0.14685963447444103	60207978	60208050	60215575	60215647	10779	1051	Constitutive_Intron	0	0.0144167	0.4583333333333333	0.3333333333333333	Cfg3	0.922971649990838
chr1	60208051	60208138	m6AIP_abcam_peak_134b	0.0	+	chr1	60206416	60217195	ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_7	0.0	+	0.15418870025048706	60208051	60208138	60209583	60209670	10779	2732	Constitutive_Intron	0	0	0.3793103448275862	0.4942528735632184	Cfg3	0.998938856605369
chr1	60327048	60327188	m6AIP_abcam_peak_136	0.0	+	chr1	60319832	60328059	ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_52	0.0	+	0.8845265588914549	60327048	60327188	60326885	60327025	8227	1703	Constitutive_Intron	0	0	0.45714285714285713	0.37857142857142856	Cfg3	1.20363955575616
chr1	60477038	60477216	m6AIP_SySy_peak_102a	0.0	+	chr1	60476832	60478002	ENSMUST00000188618.6|Abi2|ENSMUSG00000026782.15|protein_coding_Intron_11	0.0	+	0.2829059829059829	60477038	60477216	60477729	60477907	1170	2645	Alternative_ExonIntron	0.782152	0.220354	0.3707865168539326	0.43820224719101125	Cfg1	2.10017807216305
chr1	60477217	60477397	m6AIP_SySy_peak_102b	0.0	+	chr1	60476832	60478002	ENSMUST00000188618.6|Abi2|ENSMUSG00000026782.15|protein_coding_Intron_11	0.0	+	0.37606837606837606	60477217	60477397	60477119	60477299	1170	5900	Alternative_ExonIntron	0.386722	0.641067	0.43333333333333335	0.39444444444444443	Cfg1	2.87474483114188
chr1	63476716	63476861	m6AIP_abcam_peak_155	0.0	+	chr1	63447948	63477678	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_2	0.0	+	0.970770265724857	63476716	63476861	63459399	63459544	29730	37821	Constitutive_Intron	0.0119517	0.211276	0.496551724137931	0.4206896551724138	Cfg3	0.787961916413167
chr1	63510048	63510216	m6AIP_abcam_peak_156	0.0	+	chr1	63477755	63515576	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_3	0.0	+	0.8561910049972238	63510048	63510216	63502945	63503113	37821	6134	Constitutive_Intron	0.0153228	0.013506	0.4523809523809524	0.43452380952380953	Cfg3	1.64594477710955
chr1	63530847	63530941	m6AIP_abcam_peak_158a	0.0	+	chr1	63530298	63534285	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_6	0.0	+	0.1529972410333584	63530847	63530941	63531390	63531484	3987	13117	Alternative_ExonIntron	0.00312766	0.0246489	0.4787234042553192	0.6276595744680851	Cfg3	-0.389345029303796
chr1	63530942	63531060	m6AIP_abcam_peak_158b	0.0	+	chr1	63530298	63534285	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_6	0.0	+	0.17030348633057438	63530942	63531060	63533371	63533489	3987	1929	Alternative_ExonIntron	0.0485085	0.0809915	0.5423728813559322	0.5254237288135594	Cfg3	0.935778235808621
chr1	63562156	63562348	m6AIP_abcam_peak_159	0.0	+	chr1	63557488	63563408	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_18	0.0	+	0.8016891891891892	63562156	63562348	63559992	63560184	5920	13117	Constitutive_Intron	0.00722917	0.0339063	0.5	0.22916666666666666	Cfg3	0.620129246197972
chr1	63570506	63570676	m6AIP_abcam_peak_160	0.0	+	chr1	63567968	63570909	ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_22	0.0	+	0.8820129207752465	63570506	63570676	63569475	63569645	2941	2941	Constitutive_Intron	0.0936059	0.0277294	0.5117647058823529	0.4	Cfg3	0.979850892568668
chr1	64561859	64562017	m6AIP_abcam_peak_164	0.0	+	chr1	64559768	64566216	ENSMUST00000049932.11|Creb1|ENSMUSG00000025958.14|protein_coding_Intron_4	0.0	+	0.33405707196029777	64561859	64562017	64563935	64564093	6448	20904	Alternative_ExonIntron	0.0683861	0.0467025	0.5126582278481012	0.2848101265822785	Cfg3	0.830563568337395
